gene,fbgn,degree,cluster,subcluster,subsubcluster,core_score
dlg1,FBgn0001624,26,0,0,0,1.0
pins,FBgn0040080,20,0,0,0,1.0
Cpr92F,FBgn0038819,1,0,0,0,1.0
Wnk,FBgn0037098,11,0,0,0,1.0
Khc-73,FBgn0019968,7,0,0,0,1.0
insc,FBgn0011674,3,0,0,0,1.0
par-1,FBgn0260934,59,0,0,0,1.0
Madm,FBgn0027497,9,0,0,0,1.0
14-3-3zeta,FBgn0004907,114,0,0,0,1.0
meru,FBgn0052150,3,0,0,0,1.0
baz,FBgn0000163,18,0,0,0,1.0
Trpm,FBgn0265194,3,0,0,0,1.0
PRL-1,FBgn0024734,5,0,0,0,1.0
CG13796,FBgn0031939,5,0,0,0,1.0
KP78a,FBgn0026064,6,0,0,0,1.0
Mct1,FBgn0023549,8,0,0,1,1.0
schlank,FBgn0040918,17,0,0,1,1.0
CG32944,FBgn0052944,2,0,0,1,1.0
Pkcdelta,FBgn0259680,58,0,0,1,1.0
nau,FBgn0002922,12,0,0,1,1.0
Pkc53E,FBgn0003091,47,0,0,1,1.0
Pkc98E,FBgn0003093,25,0,0,1,1.0
sqd,FBgn0263396,32,0,0,1,1.0
fd96Ca,FBgn0004897,6,0,0,1,1.0
CG7497,FBgn0036742,16,0,0,1,1.0
SC35,FBgn0265298,14,0,0,1,1.0
HLH4C,FBgn0011277,15,0,0,1,1.0
Pka-R2,FBgn0022382,31,0,0,1,1.0
Pkn,FBgn0020621,36,0,0,1,1.0
JIL-1,FBgn0020412,39,0,0,1,1.0
Btk29A,FBgn0003502,30,0,0,2,1.0
HDAC4,FBgn0041210,5,0,0,2,1.0
Raf,FBgn0003079,66,0,0,2,1.0
aPKC,FBgn0261854,89,0,0,2,1.0
Magi,FBgn0034590,4,0,0,2,1.0
Tao,FBgn0031030,5,0,0,2,1.0
Jafrac1,,1,0,0,2,1.0
MBD-like,FBgn0027950,9,0,0,2,1.0
CG9222,FBgn0031784,9,0,0,2,1.0
Fak,FBgn0020440,15,0,0,2,1.0
cnk,FBgn0286070,12,0,0,2,1.0
smal,FBgn0085409,15,0,0,2,1.0
gish,FBgn0250823,26,0,0,2,1.0
Ack,FBgn0028484,16,0,0,2,1.0
Rassf,FBgn0039055,13,0,0,3,1.0
Akt1,FBgn0010379,128,0,0,3,1.0
lin-28,FBgn0035626,12,0,0,3,1.0
chico,FBgn0024248,16,0,0,3,1.0
inaC,FBgn0004784,12,0,0,3,1.0
rictor,FBgn0031006,9,0,0,3,1.0
GramD1B,FBgn0085423,4,0,0,3,1.0
CG10417,FBgn0033021,29,0,0,3,1.0
14-3-3epsilon,FBgn0020238,79,0,0,3,1.0
SkpE,FBgn0031074,12,0,0,3,1.0
qkr58E-1,FBgn0022986,8,0,0,3,1.0
FoxK,FBgn0036134,28,0,0,3,1.0
Tnpo,FBgn0024921,4,0,0,4,1.0
CG10376,FBgn0032702,6,0,0,4,1.0
CG7115,FBgn0027515,6,0,0,4,1.0
cocoon,FBgn0036496,3,0,0,4,1.0
Rab10,FBgn0015789,5,0,0,4,1.0
ci,FBgn0004859,39,0,0,4,1.0
Sox14,FBgn0005612,7,0,1,0,1.0
cdi,FBgn0004876,3,0,1,0,1.0
CTCF,FBgn0035769,10,0,1,0,1.0
vnd,FBgn0261930,11,0,1,0,1.0
Bro,FBgn0013755,3,0,1,0,1.0
gro,FBgn0001139,73,0,1,0,1.0
mnb,FBgn0259168,159,0,1,0,1.0
usp,FBgn0003964,7,0,1,0,1.0
D,FBgn0000411,19,0,1,0,1.0
aay,FBgn0023129,4,0,1,0,1.0
TfIIS,FBgn0010422,7,0,1,0,1.0
run,FBgn0003300,11,0,1,0,1.0
ksr,FBgn0015402,45,0,1,0,1.0
CrebA,FBgn0004396,10,0,1,0,1.0
bap,FBgn0004862,7,0,1,0,1.0
grim,FBgn0015946,3,0,1,1,1.0
Smox,FBgn0025800,34,0,1,1,1.0
CG1951,FBgn0039623,5,0,1,1,1.0
Snoo,FBgn0085450,7,0,1,1,1.0
Myt1,FBgn0040298,9,0,1,1,1.0
RunxB,FBgn0259162,10,0,1,1,1.0
Fancd2,FBgn0038827,18,0,1,1,1.0
brat,FBgn0010300,8,0,1,1,1.0
CG14657,FBgn0037282,2,0,1,1,1.0
Cdk5,FBgn0013762,35,0,1,1,1.0
skl,FBgn0036786,2,0,1,1,1.0
Med,FBgn0011655,24,0,1,1,1.0
Mad,FBgn0011648,44,0,1,1,1.0
Cdk9,FBgn0019949,50,0,1,2,1.0
TfIIFalpha,FBgn0010282,8,0,1,2,1.0
CycT,FBgn0025455,33,0,1,2,1.0
Cdk5alpha,FBgn0027491,12,0,1,2,1.0
Fcp1,FBgn0035026,11,0,1,2,1.0
ear,FBgn0026441,5,0,1,2,1.0
Cdk12,FBgn0037093,49,0,1,2,1.0
rhi,FBgn0004400,12,0,1,2,1.0
H15,FBgn0016660,4,0,1,2,1.0
S6KL,FBgn0283473,11,0,1,2,1.0
Asator,FBgn0039908,5,0,1,2,1.0
lbl,FBgn0008651,11,0,1,2,1.0
grp,FBgn0261278,19,0,1,3,1.0
stg,FBgn0003525,12,0,1,3,1.0
Brd8,FBgn0039654,4,0,1,3,1.0
Sirt1,FBgn0024291,36,0,1,3,1.0
p53,FBgn0039044,52,0,1,3,1.0
twe,FBgn0002673,10,0,1,3,1.0
Pp2C1,FBgn0022768,7,0,1,3,1.0
CG1647,FBgn0039602,3,0,1,3,1.0
Pbp49,FBgn0260398,3,0,1,4,1.0
lok,FBgn0019686,27,0,1,4,1.0
Pbp95,FBgn0037540,5,0,1,4,1.0
Pbp45,FBgn0038371,5,0,1,4,1.0
