fbgn,gene,bundle_partners,network_degree,covered,missing,missing_bundleless,pct_covered
FBgn0032821,CdGAPr,2,8,2,6,0,25.0
FBgn0039581,Moca-cyp,3,12,3,9,0,25.0
FBgn0028554,x16,2,7,2,5,0,28.6
FBgn0039790,CG2246,2,6,2,4,0,33.3
FBgn0036372,Abp1,2,6,2,4,0,33.3
FBgn0010434,cora,3,8,3,5,0,37.5
FBgn0035253,Srrm234,2,5,2,3,0,40.0
FBgn0041210,HDAC4,2,5,2,3,0,40.0
FBgn0030268,Klp10A,2,5,2,3,0,40.0
FBgn0002891,DNApol-zeta,2,5,2,3,0,40.0
FBgn0010397,LamC,3,7,3,4,0,42.9
FBgn0031497,SerRS,2,4,2,2,0,50.0
FBgn0019637,Atu,2,4,2,2,0,50.0
FBgn0010825,Gug,3,6,3,3,0,50.0
FBgn0029840,raptor,3,6,3,3,0,50.0
FBgn0004378,Klp61F,3,6,3,3,0,50.0
FBgn0036340,Srrm1,4,8,4,4,0,50.0
FBgn0020261,pcm,3,6,3,3,0,50.0
FBgn0036958,CG17233,2,2,1,1,0,50.0
FBgn0028471,Nab2,5,10,5,5,0,50.0
FBgn0037702,CG8176,2,4,2,2,0,50.0
FBgn0003963,ush,2,4,2,2,0,50.0
FBgn0024248,chico,8,16,8,8,0,50.0
FBgn0259978,vlc,2,2,1,1,0,50.0
FBgn0023172,RhoGEF2,7,13,7,6,0,53.8
FBgn0041781,SCAR,6,11,6,5,0,54.5
FBgn0261570,raskol,5,9,5,4,0,55.6
FBgn0019968,Khc-73,4,7,4,3,0,57.1
FBgn0284442,Mcm3,4,7,4,3,0,57.1
FBgn0003977,vir,4,7,4,3,0,57.1
FBgn0021760,chb,4,7,4,3,0,57.1
FBgn0265991,Zasp52,5,7,4,3,0,57.1
FBgn0015513,mbc,3,5,3,2,0,60.0
FBgn0025865,Cortactin,3,5,3,2,0,60.0
FBgn0020306,dom,3,5,3,2,0,60.0
FBgn0042712,HBS1,3,5,3,2,0,60.0
FBgn0035720,CG10077,3,5,3,2,0,60.0
FBgn0250788,beta-Spec,3,5,3,2,0,60.0
FBgn0031266,Sf3b1,3,5,3,2,0,60.0
FBgn0285926,Imp,3,5,3,2,0,60.0
FBgn0014861,Mcm2,7,11,7,4,0,63.6
FBgn0029006,Smurf,7,11,7,4,0,63.6
FBgn0260991,Incenp,8,12,8,4,0,66.7
FBgn0037073,Tsr1,2,3,2,1,0,66.7
FBgn0260003,Dys,2,3,2,1,0,66.7
FBgn0051352,Unc-115a,2,3,2,1,0,66.7
FBgn0036487,Prp31,2,3,2,1,0,66.7
FBgn0023518,trr,2,3,2,1,0,66.7
FBgn0041164,armi,2,3,2,1,0,66.7
FBgn0023512,eIF2Bepsilon,2,3,2,1,0,66.7
FBgn0004049,yrt,2,3,2,1,0,66.7
FBgn0030354,Upf1,2,3,2,1,0,66.7
FBgn0039470,CG6296,2,3,2,1,1,66.7
FBgn0050372,Asap,2,3,2,1,0,66.7
FBgn0038606,CG15803,2,3,2,1,0,66.7
FBgn0013756,Mtor,2,3,2,1,0,66.7
FBgn0250789,alpha-Spec,2,3,2,1,0,66.7
FBgn0000543,ecd,2,3,2,1,0,66.7
FBgn0027356,Amph,6,9,6,3,0,66.7
FBgn0013548,l(2)dtl,2,3,2,1,0,66.7
FBgn0284244,l(2)k05911,2,3,2,1,1,66.7
FBgn0250753,kra,2,3,2,1,0,66.7
FBgn0039488,CG6066,2,3,2,1,0,66.7
FBgn0043070,MESK2,2,3,2,1,0,66.7
FBgn0037707,RnpS1,6,9,6,3,0,66.7
FBgn0003392,shi,4,6,4,2,0,66.7
FBgn0035294,Mfap1,2,3,2,1,0,66.7
FBgn0020655,ArfGAP1,2,3,2,1,0,66.7
FBgn0027948,msps,2,3,2,1,0,66.7
FBgn0030855,CG5800,2,3,2,1,0,66.7
FBgn0035273,CG12020,2,3,2,1,0,66.7
FBgn0003016,osp,2,3,2,1,0,66.7
FBgn0030087,CG7766,2,3,2,1,0,66.7
FBgn0000996,dup,4,6,4,2,0,66.7
FBgn0000414,Dab,2,3,2,1,0,66.7
FBgn0025802,Sbf,2,3,2,1,0,66.7
FBgn0052313,CG32313,2,3,2,1,1,66.7
FBgn0039157,Myo95E,2,3,2,1,0,66.7
FBgn0022029,l(2)k01209,2,3,2,1,0,66.7
FBgn0040232,cmet,2,3,2,1,0,66.7
FBgn0261931,CG42797,6,9,6,3,0,66.7
FBgn0010339,128up,2,3,2,1,0,66.7
FBgn0014024,Rnp4F,2,3,2,1,0,66.7
FBgn0041582,tamo,2,3,2,1,0,66.7
FBgn0263289,scrib,10,15,10,5,0,66.7
FBgn0035766,eco,4,6,4,2,0,66.7
FBgn0261872,scaf6,2,3,2,1,0,66.7
FBgn0033961,ND-B15,2,3,2,1,1,66.7
FBgn0034029,eIF2Bgamma,2,3,2,1,0,66.7
FBgn0285955,cv-c,4,6,4,2,0,66.7
FBgn0032210,CYLD,2,3,2,1,0,66.7
FBgn0039210,CG13625,4,6,4,2,0,66.7
FBgn0041789,Pax,10,13,9,4,0,69.2
FBgn0037182,ArfGAP3,7,10,7,3,0,70.0
FBgn0041775,tral,7,10,7,3,0,70.0
FBgn0001263,inaD,5,7,5,2,0,71.4
FBgn0285947,RpS10b,5,7,5,2,0,71.4
FBgn0283477,SF2,5,7,5,2,0,71.4
FBgn0034921,DCP1,5,7,5,2,0,71.4
FBgn0265298,SC35,10,14,10,4,0,71.4
FBgn0015929,dpa,5,7,5,2,0,71.4
FBgn0038454,CG10324,8,11,8,3,0,72.7
FBgn0030412,Tomosyn,8,11,8,3,0,72.7
FBgn0003165,pum,11,15,11,4,0,73.3
FBgn0011591,fng,3,4,3,1,1,75.0
FBgn0030699,CG8578,3,4,3,1,0,75.0
FBgn0031191,Cp110,6,8,6,2,0,75.0
FBgn0033349,CG8243,3,4,3,1,0,75.0
